全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
10031,拜占庭之歌·黄,031,4,,S,,S,,S,,,S,,A,,,设·定030,,V1.3.2
10032,冰雪战士,032,2,,,S,B,,,B,A,,A,,中性风,,浪·迷/2-3少,,V1.3.2
10033,萌系正太,033,2,,,S,,A,,A,,A,A,,中性风,,设·定032,,V1.3.2
10034,秋枫,034,2,,,S,C,,,A,,A,A,,中性风,,设·定032,,V1.3.2
10035,蔷薇少女·金,035,4,,B,,B,,,S,,SS,,S,,,赠·过关/赠·成就,蔷薇少女,V1.3.2
10036,蔷薇少女·粉,036,4,,B,,A,,,SS,S,,,S,,,设·定035,,V1.3.2
10037,蔷薇少女·银,037,4,,,A,S,,A,,,S,,A,,,设·定035,,V1.3.2
10038,蔷薇少女·墨,038,4,,,A,S,,,S,,S,,A,,,设·定035,,V1.3.2
10039,维多利亚,039,5,,S,,S,,,S,S,,S,,大小姐,,兑·仙履,蒸汽时代,V1.3.2
10040,雏莺·苍绿,040,5,,A,,SS,,,B,,SS,,S,,,浪·幻,公爵的千金,V1.3.2
10041,雏莺·红,041,5,,A,,SS,,,B,S,,,S,,,设·定040,,V1.3.2
10042,贵妇人,042,4,,,A,S,,S,,S,,S,,欧式古典,,浪·幻,贵妇雍容,V1.3.2
10043,精灵·金,043,5,,SS,,SS,,,B,,A,,B,,,设·图,百合花精,V1.3.2
10044,精灵·白,044,5,,S,,SS,,S,,S,,,B,,,设·定043,,V1.3.2
10046,俏马尾,046,3,,,S,A,,,A,,B,S,,,,设·图,,V1.3.2
10048,魏紫,048,3,,,A,,S,S,,A,,C,,,,设·定046,,V1.3.2
10049,赵粉,049,3,,,A,,A,,S,A,,,A,,,设·定046,,V1.3.2
10050,无忧,050,3,,,S,A,,,B,,A,A,,,,浪·迷/浪·幻/赠·签到,,V1.3.2
10051,无忧·妃,051,3,,,A,S,,,A,,S,,A,,,设·定050,,V1.3.2
10052,无忧·黑,052,3,,,S,B,,,B,,S,,S,,,设·定050,,V1.3.2
10053,向阳花,053,4,,C,,,SS,,SS,,S,B,,,,浪·迷/浪·幻/赠·成就,,V1.3.2
10054,米花蝶,054,4,,B,,,S,,A,,SS,B,,,,设·定053,,V1.3.2
10055,童心,055,4,,,S,A,,,B,,S,S,,,,设·定053,,V1.3.2
10056,青葱岁月,056,4,,,S,S,,,B,,A,,S,,,浪·迷/浪·幻,,V1.3.2
10057,云端舞娘,057,5,,SS,,A,,SS,,,A,,B,中式古典,舞者,店·钻石,,V1.3.2
10058,轻音尘,058,5,,S,,,S,,S,,S,,B,,,浪·幻,,V1.3.2
10059,琉光曲,059,5,,S,,,A,,SS,,S,,S,,,设·定058,琉光蔷薇,V1.3.2
10060,窈窕淑女·黑,060,4,,,S,SS,,,C,,S,,A,,,浪·迷/浪·幻,,V1.3.2
10061,冰境幽语,061,4,,B,,B,,,SS,,S,SS,,,,店·金币,,V1.3.2
10063,天使兔,063,5,,,B,,S,,S,,A,A,,,,赠·V礼包,草莓甜心,V1.3.2
10064,葫芦串,064,1,,,B,,A,,A,,B,A,,中式古典,,4-5少,,V1.3.2
10065,葫芦铃铛,065,2,,,A,,A,,A,,A,A,,中式古典,,设·进064,,V1.3.2
10066,葫芦铃铛串,066,3,,A,,,S,,A,,S,A,,中式古典,,设·进065,,V1.3.2
10067,音乐公主,067,3,,S,,,S,,S,,A,B,,,,2-8少,,V1.3.2
10068,荒原珠,068,3,,S,,S,,,S,A,,S,,波西米亚,,浪·迷/浪·幻/2-3公/1-8公/联盟·小铺,,V1.3.2
10069,荒原珠·华丽,069,4,,S,,SS,,,B,S,,,B,波西米亚,,设·进068,,V1.3.2
10070,荒原珠·珍稀,070,5,,SS,,SS,,,B,S,,,B,波西米亚,,设·进069,荒原的花,V1.3.2
10071,中学少女,071,2,,,A,,B,,C,,A,A,,,,3-12公,,V1.3.2
10072,中学少女·华丽,072,3,,,S,A,,A,,,S,C,,,,设·进071,,V1.3.2
10074,洋娃娃·金,074,4,,S,,,SS,,SS,,B,,A,,,店·钻石,兔女郎,V1.3.2
10076,可人,076,3,,A,,S,,,C,,S,,A,,,浪·迷/浪·幻/1-1公,,V1.3.2
10077,可人·华丽,077,4,,S,,S,,A,,S,,,S,,,设·进076,,V1.3.2
10078,狂野,078,2,,A,,,A,,A,A,,S,,摇滚风,,浪·迷/3-11公,,V1.3.2
10079,狂野·华丽,079,3,,A,,,S,A,,S,,A,,摇滚风,,设·进078,,V1.3.2
10080,恬静时光,080,2,,,A,S,,,A,,A,C,,和风,,4-11少,,V1.3.2
10081,恬静时光·华丽,081,3,,,A,S,,,B,,S,,S,和风,,设·进080/幻,,V1.3.2
10082,恬静时光·珍稀,082,4,,,B,S,,,B,,S,,S,和风,,设·进081,,V1.3.2
10083,鸽吟·棕,083,5,,S,,SS,,B,,,S,S,,大小姐,,设·定039,,V1.3.2
10084,鸽吟·蓝,084,5,,S,,A,,,S,,S,S,,大小姐,,设·定039,,V1.3.2
10091,花蕾,091,3,,,S,,S,,S,,S,C,,,,5-11少,,V1.3.2
10092,花蕾·华丽,092,4,,,S,,B,,SS,,S,B,,,,设·进091,,V1.3.2
10093,小狮子,093,3,,B,,,S,,S,,S,B,,,,店·金币,,V1.3.2
10094,麦穗,094,3,,,B,,B,,SS,,S,B,,,,6-7少,,V1.3.2
10095,麦穗·华丽,095,4,,,A,,B,,A,,SS,,S,,,设·进094,,V1.3.2
10097,红豆吻,097,2,,,A,,A,,A,,A,A,,,,4-支3少,,V1.3.2
10098,红豆之吻,098,3,,,S,,B,,A,,S,,S,,,设·进097,,V1.3.2
10099,橙允,099,3,,,S,,C,,S,,S,,S,,,店·金币,,V1.3.2
10100,鹿珍,100,3,,,S,,B,,B,,B,,S,,,5-9少/联盟·小铺,,V1.3.2
10102,俏丫头,102,1,,,A,,A,,A,,A,C,,,,赠·成就,,V1.3.2
10103,娃娃脸,103,1,,,A,,C,,S,,S,C,,,,店·金币,,V1.3.2
10104,丽人,104,2,,,A,S,,S,,A,,A,,医务使者,OL,店·金币/浪·迷,,V1.3.2
10105,杨柳,105,4,,,A,,A,,S,,S,S,,中式古典,,浪·迷/浪·幻/浪·缥缈/2-7公,,V1.3.2
10106,杨柳·华丽,106,5,,S,,SS,,,S,,S,B,,中式古典,,设·进105,绿烟拂柳,V1.3.2
10107,复古英伦,107,3,,B,,S,,SS,,A,,B,,英伦,,店·金币/浪·迷/浪·幻,,V1.3.2
10108,小护士,108,3,,,A,S,,A,,,A,A,,医务使者,OL,店·金币,白衣天使,V1.3.2
10109,音符·黑,109,3,,,S,,A,,A,,S,S,,OL,,设·图,梨院琳琅,V1.3.2
10110,黄金稻,110,3,,S,,S,,B,,,B,S,,,,设·图,,V1.3.2
10111,西部少女,111,3,,S,,B,,,B,S,,S,,,,浪·迷/浪·幻/3-9公,,V1.3.2
10112,西部少女·华丽,112,4,,S,,S,,A,,S,,,S,,,设·进111,牛仔风情,V1.3.2
10113,芝士蛋糕,113,3,,,A,A,,,S,,S,A,,,,浪·迷/浪·幻/2-支1公,,V1.3.2
10114,芝士蛋糕·华丽,114,4,,,S,S,,,A,,S,,A,,,设·进113/浪·迷/浪·幻,,V1.3.2
10115,芝士蛋糕·珍稀,115,5,,B,,,S,,SS,,A,,SS,,,设·进114,巧克力女仆,V1.3.2
10116,律政佳人,116,2,,,S,S,,C,,,C,S,,,,店·金币/浪·迷,,V1.3.2
10117,满城,117,3,,,A,S,,A,,,S,A,,,,浪·迷/浪·幻/1-4公,,V1.3.2
10118,满城·华丽,118,4,,S,,A,,,B,,SS,,S,,,设·进117/浪·迷/浪·幻,,V1.3.2
10119,满城·珍稀,119,5,,S,,SS,,,B,,S,,S,,,设·进118,上海烟云梦,V1.3.2
10120,梦乡,120,3,,,A,S,,,S,,A,,A,,,店·金币,熊猫梦乡,V1.3.2
10121,狂野·珍稀,121,4,,S,,,A,A,,S,,S,,摇滚风,,设·进079,性感不良,V1.3.2
10122,娇娆,122,5,,C,,S,,S,,A,,,A,,,赠·V礼包,舞会皇后,V1.3.2
10123,月缘,123,4,,S,,SS,,B,,S,,S,,,,设·图,美梦成真,V1.3.2
10124,小鹿,124,4,,S,,,A,,S,,S,C,,,,店·金币,森女与麋鹿,V1.3.2
10125,舞之星,125,6,,SS,,SS,,S,,A,,,S,,,设·图,星之海,V1.3.2
10126,哥特萝莉,126,4,,S,,,S,,A,S,,C,,哥特风,洛丽塔,设·图,哥特萝莉,V1.3.2
10127,蝴蝶·珍稀,127,5,,A,,S,,,A,,S,,SS,中式古典,,设·进141,蝴蝶兰翩翩·粉,V1.3.2
10128,紫蝶,128,5,,B,,SS,,SS,,,A,,S,中式古典,,设·定127,,V1.3.2
10129,水沐,129,3,,,A,,A,,S,,S,A,,童话系,,浪·迷/浪·幻/2-1公/联盟·小铺,,V1.3.2
10130,水沐·华丽,130,5,,A,,S,,S,,,S,,S,童话系,,设·进129,水母公主,V1.3.2
10131,小龙女,131,5,,B,,S,,S,,,SS,,B,中式古典,,设·图,小龙女,V1.3.2
10132,汀兰,132,4,,B,,S,,S,,,SS,A,,,,浪·迷,岸芷汀兰,V1.3.2
10133,千枫,133,3,,,A,,S,,S,C,,S,,,,浪·迷/浪·幻/3-3公/7-8公,,V1.3.2
10134,千枫·华丽,134,4,,,A,,S,,S,B,,S,,,,设·进133/浪·迷/浪·幻,,V1.3.2
10135,千枫·珍稀,135,5,,S,,S,,,S,B,,,S,,,设·进134,枫千叶女忍,V1.3.2
10136,鬼姬,136,3,,,A,,B,,A,,S,S,,和风,,浪·迷/浪·幻/4-11公/3-2公,,V1.3.2
10137,鬼姬·华丽,137,4,,C,,,A,,A,,SS,S,,和风,,设·进136/浪·迷/浪·幻,,V1.3.2
10138,鬼姬·珍稀,138,5,,SS,,SS,,B,,,SS,,B,和风,,设·进137,鬼姬彼岸花,V1.3.2
10139,纤媚狐,139,5,,SS,,SS,,B,,,A,A,,,,赠·充值,罂粟千狐,V1.6.3
10140,蝴蝶,140,3,,,A,B,,,A,,S,S,,中式古典,,浪·迷/浪·幻/浪·缥缈/2-5公,,V1.3.2
10141,蝴蝶·华丽,141,4,,C,,S,,,S,,S,A,,中式古典,,设·进140/浪·迷/浪·幻,,V1.3.2
10142,雀吟,142,5,,S,,S,,S,,S,,S,,中式古典,,浪·迷/浪·幻,孔雀东南飞,V1.3.2
10143,罗密欧,143,4,,,S,,S,,S,,A,S,,中性风,,店·金币,罗密欧,V1.3.2
10144,人间四月天,144,3,,,S,A,,,A,,A,A,,,,设·图,人间四月天,V1.3.2
10145,宫秀,145,5,,S,,S,,S,,,S,A,,中式古典,,兑·仙履,清宫丽影,V1.3.2
10146,淑兰,146,4,,,A,S,,S,,,B,S,,,,设·图,幽兰赋,V1.3.2
10147,韶颜,147,3,,,A,,C,,S,,S,,S,,,设·图,,V1.3.2
10148,小红帽,148,3,,,A,,S,,A,,A,A,,,,浪·迷/浪·幻/1-9公,,V1.3.2
10149,小红帽·华丽,149,4,,,A,,S,,S,,A,S,,,,设·进148/浪·迷/浪·幻,,V1.3.2
10150,小红帽·珍稀,150,4,,,A,,A,,S,,S,,S,,,设·进149,小红帽奇遇记,V1.3.2
10152,寻梦,152,3,,S,,S,,,B,S,,B,,,,店·金币,,V1.3.2
10153,匆匆,153,2,,,S,,A,,A,,B,A,,,,赠·成就,,V1.3.2
10154,西域舞娘,154,4,,S,,S,,S,,,C,S,,舞者,,设·图,西域舞娘,V1.3.2
10155,甜甜,155,3,,,C,,SS,,S,,C,S,,,,店·钻石,甜甜糕点师,V1.3.2
10156,甜甜·银,156,3,,,C,,S,,A,,S,A,,,,设·定155,,V1.3.2
10159,活力宝贝,159,3,,,A,,A,,S,,S,A,,,,店·钻石/浪·迷/浪·幻,,V1.3.2
10160,温雅侍者,160,3,,,C,SS,,A,,A,,A,,中性风,,设·图,,V1.3.2
10161,斯文侍者,161,3,,,A,S,,A,,A,,A,,中性风,,设·定160,,V1.3.2
10163,乖顺侍者,163,3,,,A,S,,A,,,S,A,,中性风,,设·定160,,V1.3.2
10164,夜华章,164,5,,A,,,A,,A,,A,,A,大小姐,,赠,璀璨星河,V1.3.2
10165,鲜柚,165,3,,S,,,B,,S,,A,S,,,,设·图,美食外卖员,V1.3.2
10166,仁德,166,3,,,A,S,,A,,A,,S,,OL,,店·金币,神圣医者,V1.3.2
10167,爱丽丝,167,4,,,S,,A,,S,,S,,S,,,兑·仙履,爱丽丝仙境,V1.3.2
10168,小水手,168,4,,,S,,A,,S,,S,S,,,,浪·迷,海豹小水手,V1.3.2
10169,小钾花头发,169,4,,,A,,A,,S,,S,S,,,,店·钻石/浪·迷/浪·幻,,V1.3.2
10170,甜美少女,170,4,,,S,S,,S,,A,,,S,,,赠·成就,甜美花季,V1.3.2
10171,果酱,171,3,,,A,,S,,A,,A,A,,,,赠·成就,蛋糕庄园,V1.3.2
10172,漩涡,172,4,,S,,,S,,S,,A,S,,,,兑·花园,暖系机械,V1.3.6
10173,小泡芙,173,2,,S,,,A,,A,,C,S,,,,兑·花园,泡芙小姐,V1.3.6
10174,夜卜,174,5,,,B,S,,,S,,SS,,S,,,浪·迷/浪·幻,星夜占卜师,V1.3.2
10178,少儿主持人,178,3,,,A,,A,,S,,A,S,,,,浪·迷/浪·幻,,V1.3.2
10179,摇滚女声·红,179,3,,A,,,S,A,,S,,B,,摇滚风,,店·金币/幻,摇滚歌手,V1.3.2
10180,摇滚女声·紫,180,3,,A,,A,,A,,S,,S,,摇滚风,,设·定179,,V1.3.2
10181,暮歌·棕,181,3,,,A,A,,A,,,A,,A,,,店·金币,,V1.3.2
10183,暮歌·金,183,3,,,S,S,,,B,,B,,B,,,设·定181,,V1.3.2
10184,暮歌·紫,184,3,,,S,S,,,B,,S,,A,,,设·定181,,V1.3.2
10185,呆毛少女·黑,185,4,,,B,,A,A,,,SS,SS,,,,店·钻石,,V1.3.2
10186,呆毛少女·金,186,4,,,A,,A,A,,,A,SS,,,,设·定185,,V1.3.2
10187,个性少女,187,2,,,A,B,,,A,,A,A,,,,店·金币/浪·迷,,V1.3.2
10188,川流,188,2,,,A,A,,,A,,A,A,,,,设·定187,,V1.3.2
10189,船岛,189,3,,S,,,S,,S,,C,A,,,,店·钻石/幻,,V1.3.2
10190,小满的短发,190,2,,,S,,C,,A,,A,A,,,,赠·成就,,V1.3.2
10192,转校生·棕,192,2,,,A,,A,,A,,A,A,,,,店·金币/浪·迷/10-7少/3-8少,,V1.3.2
10193,转校生·金,193,2,,,C,,S,,A,,A,A,,,,设·定192,,V1.3.2
10194,小诗,194,3,,,A,,A,,A,,S,A,,,,设·图,,V1.3.2
10195,蝶恋花,195,5,,S,,SS,,A,,,S,,S,,,赠·成就,蝴蝶夫人,V1.3.2
10196,帽子控,196,3,,,S,,A,,B,,S,B,,,,浪·幻,,V1.3.2
10199,银色光辉,199,4,,,SS,A,,,B,,A,S,,,,浪·迷/浪·幻,,V1.3.2
10200,知心姐姐,200,3,,,S,A,,A,,A,,A,,,,设·图,,V1.3.2
10201,茶曲,201,3,,,S,A,,,B,,S,,S,,,浪·幻,梦幻下午茶,V1.3.2
10202,夜影,202,4,,A,,S,,,S,,B,,S,和风,哥特风,浪·幻,暗夜萝莉,V1.3.2
10203,莉莉斯新娘,203,3,,S,,,A,,A,,A,,S,,,设·图,花嫁童话,V1.4.5
10204,斯文助理,204,3,,,S,A,,C,,S,,S,,,,1-6少,首席特助,V1.3.2
10205,洛可,205,4,,,S,,S,,S,,A,S,,,,兑·仙履,洛可的茶会,V1.3.2
10206,最美特工,206,4,,A,,A,,A,,S,,S,,摇滚风,,店·钻石,最美特工,V1.3.2
10207,云墨,207,4,,,S,,A,,S,,S,S,,中式现代,,设·图,,V1.3.2
10208,绮霞,208,4,,,S,,S,,S,,A,S,,中式现代,,设·定207,霞赤图,V1.3.2
10209,诗梦,209,4,,,S,,S,,S,,A,S,,中式现代,,设·定207,,V1.3.2
10210,花田少女,210,5,,,B,C,,,B,,A,,B,,,赠·好友,花田香气,V1.3.2
10214,倾慕,214,5,,A,,S,,,A,,B,,A,,,赠·首充,慕冬天使,V1.3.2
10215,暖心,215,5,,A,,B,,,A,,A,,A,,,浪·迷,冬恋奇迹,V1.3.2
10217,暖心·棕,217,4,,,B,B,,,S,,SS,,S,,,浪·幻,,V1.3.2
10219,灵幔,219,4,,A,,,SS,,B,,S,A,,,,店·金币,漫纱轻舞,V1.5.1
10220,灵幔·金,220,4,,,B,S,,,S,,S,,S,,,浪·幻,,V1.3.2
10226,锦心,226,5,,A,,,A,,A,,A,A,,,,赠·签到,红裳锦绣,V1.3.2
10227,武媚娘,227,5,,,S,S,,S,,,S,,S,,,赠·成就,,V1.3.2
10228,圣神皇帝,228,5,,S,,SS,,S,,,S,,S,,,赠·V礼包,一代女皇,V1.3.2
10232,信鸽少年,232,2,,,A,A,,A,,,A,A,,,,浪·迷,,V1.3.2
10233,苹果派,233,2,,,A,A,,S,,,C,,A,,,浪·迷,,V1.3.2
10234,中分的薇雅,234,3,,,A,S,,S,,,A,S,,,,兑·仙履,,V1.3.2
10235,盘发的伊莎,235,3,,,B,S,,A,,S,,S,,,,兑·仙履,,V1.3.2
10236,塞壬海妖,236,3,,,C,S,,A,,S,,,S,,,兑·仙履,,V1.3.2
10238,琪琪云,238,4,,,B,B,,S,,S,,S,,,,赠·成就,,V1.3.2
10239,提线娃娃·黑,239,4,,S,,B,,S,,S,,,S,,,店·金币,,V1.3.2
10240,亚麻少女,240,3,,S,,S,,,S,,S,B,,,,浪·幻,,V1.3.2
10241,提线娃娃·棕,241,4,,S,,B,,S,,S,,,S,,,设·定239,,V1.3.2
10242,罗密欧·黑,242,4,,,S,S,,C,,,S,S,,中性风,,设·定143,,V1.3.2
10244,罗密欧·金,244,4,,,S,S,,B,,,S,S,,中性风,,设·定143,,V1.3.2
10246,寻梦·白,246,3,,S,,,B,,S,,S,B,,,,设·定152,,V1.3.2
10247,匆匆·棕,247,2,,,S,,C,,A,,A,A,,,,设·定153,,V1.3.2
10248,匆匆·金,248,2,,,A,,A,,A,,A,A,,,,设·定153,,V1.3.2
10249,葫芦串·黑,249,1,,,B,,A,,B,,A,A,,中式古典,,设·定064,,V1.3.2
10254,葫芦铃铛·黑,254,2,,,A,,A,,A,,A,A,,中式古典,,设·定065,,V1.3.2
10255,葫芦铃铛串·粉,255,3,,A,,,A,,A,,A,S,,中式古典,,设·定066,,V1.3.2
10256,葫芦铃铛串·黑,256,3,,A,,,A,,A,,A,A,,中式古典,,设·定066,,V1.3.2
10258,荒原珠·紫,258,3,,,B,S,,,S,,S,C,,波西米亚,,设·定068,,V1.3.2
10260,荒原珠·棕,260,4,,,B,S,,SS,,,B,,S,波西米亚,,设·定069,,V1.3.2
10261,荒原珠·银,261,5,,SS,,S,,B,,,S,,S,波西米亚,,设·定070,,V1.3.2
10262,荒原珠·金,262,5,,,A,SS,,A,,,A,,SS,波西米亚,,设·定070,,V1.3.2
10272,云端舞娘·黑,272,5,,SS,,B,,SS,,SS,,,B,中式古典,舞者,设·定057,,V1.3.2
10273,云端舞娘·粉,273,5,,S,,S,,S,,S,,,S,中式古典,舞者,设·定057,,V1.3.2
10274,云端舞娘·金,274,5,,S,,B,,S,,S,,,S,中式古典,舞者,设·定057,,V1.3.2
10275,蘑菇头,275,2,,,A,,A,,S,,A,C,,,,店·金币,,V1.3.2
10281,可人·棕,281,3,,A,,S,,,A,,S,,A,,,设·定076,,V1.3.2
10285,可人·银,285,4,,S,,S,,,B,,S,,S,,,设·定077/赠·签到,,V1.3.2
10286,轻音尘·紫,286,5,,SS,,,B,,SS,,S,,S,,,设·定058,,V1.3.2
10287,轻音尘·棕,287,5,,S,,,S,,S,,S,,S,,,设·定058,,V1.3.2
10292,冰境幽语·棕,292,4,,,S,A,,,S,,S,S,,,,设·定061,,V1.3.2
10293,小狮子·棕,293,3,,B,,,S,,S,,S,C,,,,设·定093,,V1.3.2
10294,小狮子·浅棕,294,3,,B,,,S,,S,,S,B,,,,设·定093,,V1.3.2
10295,小狮子·金,295,3,,B,,,S,,S,,S,S,,,,设·定093,,V1.3.2
10303,小护士·棕,303,2,,,A,A,,A,,A,,A,,医务使者,OL,设·定108,,V1.3.2
10304,小护士·浅棕,304,2,,,A,A,,A,,A,,A,,医务使者,OL,设·定108,,V1.3.2
10305,小护士·白,305,2,,,C,A,,S,,A,,A,,医务使者,OL,设·定108,,V1.3.2
10315,律政佳人·金,315,2,,,A,A,,A,,,A,A,,,,设·定116,,V1.3.2
10316,律政佳人·白金,316,2,,,A,A,,A,,,A,A,,,,设·定116,,V1.3.2
10324,成熟姐姐·棕,324,5,,,B,S,,S,,S,,,S,,,设·定122,,V1.3.2
10325,成熟姐姐·金,325,5,,,B,SS,,SS,,S,,,B,,,设·定122,,V1.3.2
10335,蓝色风暴,335,3,,S,,,A,A,,A,,A,,摇滚风,,设·定079,,V1.3.2
10336,黑色风暴,336,3,,A,,,A,A,,A,,S,,摇滚风,,设·定079,,V1.3.2
10337,炫彩风暴,337,3,,S,,,A,S,,S,,A,,摇滚风,,设·定079,,V1.3.2
10338,黑色风暴·华丽,338,4,,S,,,S,S,,S,,,S,摇滚风,,设·定121,,V1.3.2
10340,紫色风暴,340,4,,A,,,S,S,,S,,,S,摇滚风,,设·定121,,V1.3.2
10341,狂野·银,341,2,,A,,,A,A,,A,,A,,摇滚风,,设·定078,,V1.3.2
10342,狂野·黑,342,2,,A,,,A,C,,A,,A,,摇滚风,,设·定078,,V1.3.2
10344,恬静时光·金,344,2,,,A,A,,,A,,A,A,,和风,,设·定080,,V1.3.2
10350,恬静时光·粉,350,4,,,B,S,,S,,,S,,S,和风,,设·定082,,V1.3.2
10353,树莓冰,353,3,,,S,C,,,A,,A,S,,,,店·金币,,V1.3.2
10354,树莓冰·棕,354,3,,,S,C,,,A,,S,S,,,,设·定353,,V1.3.2
10357,双马尾长发,357,3,,,S,,C,,S,,S,B,,,,店·金币,,V1.3.2
10359,动力少女,359,3,,,S,,A,,A,,A,A,,,,5-10少,,V1.3.2
10363,双马尾少女,363,2,,,A,,A,,A,,A,A,,,,浪·迷,,V1.3.2
10365,未来少女·金,365,2,,A,,,C,,A,,S,A,,,,店·金币,,V1.3.2
10367,未来少女·青,367,2,,A,,,C,,S,,A,S,,,,设·定365,,V1.3.2
10369,花蕾·金,369,3,,S,,,B,,S,,S,B,,,,设·定091,,V1.3.2
10370,花蕾·亚麻,370,3,,S,,,B,,S,,S,B,,,,设·定091,,V1.3.2
10371,花蕾·棕,371,4,,S,,S,,,S,,S,B,,,,设·定092,,V1.3.2
10380,麦穗·太阳,380,3,,S,,S,,,B,,S,,B,,,店·钻石,,V1.3.2
10381,麦穗·歌谣,381,3,,A,,A,,,S,,A,,A,,,设·定380,,V1.3.2
10382,麦穗·田园,382,3,,A,,S,,A,,,A,,S,,,设·定380,,V1.3.2
10385,红豆吻·黑,385,2,,,A,,A,,A,,A,A,,,,设·定097,,V1.3.2
10386,红豆之吻·蓝,386,3,,,B,,S,,S,,S,B,,,,设·定098,,V1.3.2
10388,红豆之吻·黑,388,3,,,B,B,,,S,,S,B,,,,设·定098,,V1.3.2
10389,橙允·紫,389,3,,,A,S,,,A,,S,C,,,,设·定099,,V1.3.2
10390,橙允·金,390,3,,,S,A,,,S,,S,C,,,,设·定099,,V1.3.2
10391,橙允·粉,391,3,,,S,S,,,S,,S,C,,,,设·定099,,V1.3.2
10396,音乐公主·金棕,396,3,,S,,,A,,B,,S,,S,,,设·定067,,V1.3.2
10402,天使兔·紫,402,5,,,S,,S,,S,,S,S,,,,设·定063,,V1.3.2
10418,娃娃脸·棕,418,1,,,A,,A,,C,,A,A,,,,设·定103,,V1.3.2
10419,娃娃脸·紫,419,1,,,S,C,,,C,,A,A,,,,设·定103,,V1.3.2
10420,琴歌,420,3,,,S,B,,S,,,B,,S,,,浪·幻,,V1.3.2
10421,砂砾·粉,421,2,,,C,,A,,A,,S,A,,,,店·金币,,V1.3.2
10422,砂砾·棕,422,2,,,A,,C,,A,,A,A,,,,设·定421,,V1.3.2
10423,砂砾·金,423,2,,,S,,C,,B,,S,S,,,,设·定421,,V1.3.2
10424,砂砾·黑,424,2,,,S,,B,,B,,S,S,,,,设·定421,,V1.3.2
10426,普通短发,426,2,,,S,,B,,C,,S,S,,,,5-3少,,V1.3.2
10428,情丝,428,2,,,A,A,,C,,,A,,A,,,店·金币,,V1.3.2
10435,神仙姐姐,435,3,,B,,S,,S,,S,,,B,中式古典,,店·金币,,V1.3.2
10437,白府夫人,437,4,,,B,SS,,S,,B,,S,,和风,,店·钻石,,V1.3.2
10438,绢纺主母,438,4,,,B,S,,S,,S,,S,,中式古典,,店·钻石,,V1.3.2
10439,落铃,439,2,,,A,,C,,S,,S,B,,,,2-5少/10-1少,,V1.3.2
